total energy consumption (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nigeria,0.585514329,0.618331565,0.662221311,0.717083234,0.696566742,0.766110719,0.785316046,0.798035216,0.743823243,0.827191949,0.847427133,0.847894242,0.813178879,0.8161265,0.765959746,0.867027977,0.905688087,0.954168175,0.989628433,1.082374429,0.965069991,0.885185584,1.064828915,0.668015668,0.831487009,1.182967607,1.18040122,1.517991243,1.657425365,1.566568174,1.57870441
Niue,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34545E-05,9.685E-05,9.92537E-05,9.57561E-05,8.98957E-05,8.97174E-05,9.27535E-05,9.18456E-05,8.4767E-05,0.000134064,8.82333E-05,8.22038E-05,9.14044E-05,9.00688E-05,9.68242E-05,0.000100019,0.000108187,0.000104123
North Korea,0.984836746,0.969706233,1.138199505,0.943727906,0.962486984,0.958603864,0.807582902,0.884806118,0.866997398,1.015706972,0.975250935,0.941016934,0.834976092,1.067615834,0.947272753,0.922534366,0.901076279,0.898003354,0.934388664,0.916956961,0.869847205,0.797172768,0.860286617,0.72412919,0.691990674,0.51642597,0.493576207,0.384856783,0.359815603,0.315119788,0.368050534
North Macedonia,--,--,--,--,--,--,0.104012309,0.106633809,0.092963353,0.09589028,0.105436232,0.097676007,0.116844581,0.108255874,0.103325267,0.095815253,0.094941549,0.10286827,0.107572269,0.109820809,0.10945549,0.110778539,0.108716496,0.106029386,0.114951374,0.119650017,0.110241222,0.109472955,0.107760363,0.111428886,0.110259263
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,1.54450107,1.572936103,1.601852945,1.672078545,1.718697832,1.626842975,1.722006675,1.715211135,1.684779238,1.792762533,1.69418648,1.749411575,1.811254609,1.884432016,1.984894911,1.899879993,1.944425357,1.819267775,1.89906352,1.987155525,1.798254225,1.967535461,1.938116577,1.91312529,1.853891344,1.811352757,1.929633335,1.875601396,1.92207164,1.895573536,1.91929156
Oman,0.134624673,0.13884664,0.130166315,0.168075391,0.18294819,0.192364338,0.203382185,0.227204769,0.236772039,0.223411535,0.230191995,0.266773906,0.345033002,0.3014015,0.36647442,0.385657081,0.41410663,0.40074476,0.40036312,0.51468997,0.58632341,0.605395627,0.762064907,0.756460364,0.887175005,0.907773089,1.072162963,1.073449908,1.173402731,1.169375131,1.151568282
Pakistan,0.928240658,1.002279521,1.070072139,1.129104946,1.179039644,1.243977465,1.305431866,1.391633986,1.5189051,1.585734791,1.664653719,1.681357693,1.735128971,1.771808071,1.889707183,1.827207647,1.841683445,1.843461546,1.999013002,2.170764437,2.443422022,2.528623776,2.503766515,2.529254143,2.615086796,2.580873837,2.740756864,2.700763002,2.827445914,2.972896101,3.161155524
Palestinian Territories,--,--,--,--,--,--,--,--,--,--,--,0.009287035,0.014718294,0.014982309,0.019668679,0.026686715,0.024710385,0.026506698,0.040314817,0.049407254,0.043624821,0.044929726,0.043093816,0.044200055,0.044178483,0.049122834,0.049140102,0.052184168,0.056286253,0.062435284,0.065249919
Panama,0.1703632,0.17674855,0.174930712,0.170367093,0.180061557,0.178041226,0.181152245,0.181888753,0.202612167,0.213327133,0.191970258,0.197513162,0.207890687,0.144862672,0.228844831,0.232588234,0.229786481,0.231731433,0.23630422,0.235891566,0.256232611,0.241925065,0.283396892,0.274575164,0.311477668,0.314184013,0.348769477,0.343232634,0.35099433,0.383434407,0.405172516
Papua New Guinea,0.035577086,0.039010407,0.036741439,0.037678557,0.038159155,0.0377494,0.039786187,0.040420124,0.038721052,0.044931732,0.046899391,0.044449934,0.044768892,0.045315342,0.051636591,0.059055804,0.061800436,0.07016574,0.078415112,0.075773357,0.077668334,0.083704134,0.083522253,0.086103528,0.083002806,0.059077739,0.083363905,0.089411154,0.092662363,0.086545254,0.106062101
Paraguay,0.112650941,0.167498685,0.17428927,0.216759412,0.230903725,0.244768797,0.230839172,0.260673455,0.30110491,0.347234544,0.363371243,0.400112678,0.407530989,0.426425152,0.425470821,0.37835966,0.394247993,0.417962035,0.414895353,0.406501135,0.425622467,0.427414995,0.440825663,0.436909765,0.441834737,0.465521102,0.477767727,0.481835075,0.456039827,0.467779038,0.528406892
Peru,0.452042444,0.453743598,0.450989869,0.406401188,0.384871739,0.380070444,0.374069909,0.428204738,0.448811777,0.472829942,0.503707573,0.481824946,0.499767391,0.526711697,0.541864421,0.53311527,0.539351764,0.540392836,0.591929964,0.621341669,0.635478972,0.664442641,0.768200934,0.770579088,0.863032353,0.908677431,0.963500107,0.993446501,1.013894777,1.053957043,1.097907384
Philippines,0.487367647,0.550548024,0.589444606,0.661061149,0.670680535,0.676476562,0.714873196,0.777003413,0.830048269,0.890307034,0.956514724,1.023274741,1.070142079,1.103985278,1.13258988,1.090739121,1.111209494,1.125634901,1.174667159,1.12403297,1.116547827,1.143376241,1.212366371,1.160114567,1.214102394,1.239829755,1.274102228,1.400497142,1.433811781,1.616840319,1.726853175
Poland,4.481301722,4.732576247,4.629917192,4.469634029,3.707943264,3.668817101,3.535320299,3.618039681,3.517163034,3.496482338,3.733981238,3.669514157,3.509318025,3.439745348,3.345754325,3.344706434,3.274963042,3.419671906,3.509221413,3.545778073,3.660873446,3.737044622,3.834726825,3.73328245,3.957003477,4.018403378,3.976011895,3.927155951,3.901341844,4.002779591,4.132239518
Portugal,0.565303559,0.579976455,0.6434968,0.688893263,0.732450685,0.739348867,0.757974373,0.76608756,0.806939674,0.839777809,0.874784822,0.904471373,0.972548745,1.017145779,1.063826843,1.080586917,1.078806169,1.111642904,1.106197978,1.106747309,1.094842731,1.106823808,1.067555335,1.064336112,1.113859147,1.065541781,0.981926862,1.042963364,1.041892557,1.038000348,1.077474527
Puerto Rico,0.229686594,0.229779387,0.229983385,0.230500589,0.225965954,0.225256618,0.226812708,0.226637229,0.227059932,0.227033899,0.227384737,0.22720572,0.227352063,0.226405293,0.439391963,0.477025537,0.477626258,0.506062584,0.518428583,0.501503899,0.452751335,0.436424875,0.40731188,0.380646408,0.323053867,0.348019683,0.369070634,0.319480112,0.310718243,0.313065627,0.286252375
Qatar,0.255591453,0.261987125,0.268193651,0.27799938,0.285599456,0.335581761,0.521769727,0.556802237,0.558346568,0.562408465,0.578333577,0.609901103,0.62174646,0.617604731,0.660869886,0.502855464,0.602028792,0.632754439,0.723619035,0.888814452,0.967566629,1.05270858,1.141492385,1.201648181,1.254731113,1.375037197,1.914317452,2.067893558,2.093972369,2.05417817,2.029840008
Reunion,0.016456356,0.018208449,0.019544737,0.021647298,0.022937154,0.025103685,0.026076712,0.031757486,0.032790894,0.032425823,0.032545556,0.032805566,0.040731766,0.040768197,0.038802919,0.038963331,0.039620939,0.040016976,0.044458899,0.042267473,0.039914325,0.03887971,0.042565282,0.043471265,0.047321588,0.045553132,0.043776665,0.043301722,0.043926124,0.046855299,0.047657592
Romania,2.891758217,2.979243045,2.955067885,3.038310586,2.825656027,2.204852887,2.05458617,1.981518021,1.860705892,2.003607838,2.03106704,2.009351841,1.73009794,1.558903592,1.547920426,1.712032571,1.662267129,1.633352408,1.678209405,1.660085123,1.715621239,1.687120664,1.653270465,1.411925708,1.446718765,1.47533951,1.439627665,1.34963128,1.372782933,1.355812221,1.365031947
Russia,--,--,--,--,--,--,36.25990733,32.53098543,29.31500873,28.84352008,27.05116456,25.68518657,25.36034619,25.83410957,26.72888987,26.72150454,27.14619228,27.79346816,28.33237642,28.07305193,29.34225737,29.14928413,30.03626535,27.21681731,30.72590676,31.83026159,31.82851641,31.4027949,31.66538722,31.41407366,31.16440494
Rwanda,0.011134893,0.011188908,0.011145966,0.011486913,0.012015766,0.012234755,0.012293231,0.011253366,0.011503909,0.011708819,0.01158195,0.011740899,0.011915763,0.011548825,0.009232078,0.009068205,0.009142911,0.00919073,0.008878605,0.008543668,0.008263745,0.008513169,0.008992875,0.009509835,0.01033657,0.011649788,0.012671465,0.013587455,0.014514689,0.016514628,0.016503856
Saint Helena,4.34367E-05,8.83874E-05,8.83984E-05,8.83874E-05,8.83874E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34545E-05,0.000175546,0.000175289,0.000182785,0.000180843,0.000118045,0.000147334,0.000135697,0.000171927,0.000139921,0.000131572,0.000149168,0.000145937,0.000161661,0.000155076,0.000147213,0.000134,0.000135
Saint Kitts and Nevis,0.000704605,0.000704605,0.000750136,0.000748438,0.000748438,0.001004884,0.001007159,0.001228262,0.001440874,0.001228262,0.001444822,0.001440874,0.001440874,0.001440874,0.002631585,0.002720228,0.002975928,0.002980719,0.003223768,0.003003433,0.003112369,0.003290683,0.003286951,0.003363548,0.003445907,0.003549504,0.003531865,0.003519169,0.003563052,0.003647664,0.003744084
Saint Lucia,0.00179887,0.001961371,0.002503728,0.002497609,0.002497609,0.002497609,0.002503728,0.002497609,0.002949863,0.002949863,0.0029571,0.002949863,0.002949863,0.002949899,0.004998782,0.005420867,0.004898136,0.005420058,0.00543931,0.005610766,0.005659857,0.005851651,0.006014195,0.00586669,0.006131811,0.006223674,0.006195327,0.006179361,0.006240058,0.006280877,0.006347758
Saint Pierre and Miquelon,0.00235233,0.003024068,0.003037163,0.003666759,0.003450505,0.003241493,0.00298473,0.0017009,0.001736042,0.001098205,0.001101107,0.000637838,0.00085045,0.00085045,0.00096006,0.00096006,0.001046969,0.001178686,0.001135231,0.001178686,0.001178686,0.00122214,0.00122214,0.00122214,0.001285107,0.001293718,0.001275936,0.001306404,0.001361465,0.001361465,0.001386152
Saint Vincent/Grenadines,0.000788554,0.000819055,0.000953959,0.001323872,0.00124958,0.001083988,0.001370577,0.001185427,0.001968189,0.00215984,0.001972634,0.002274173,0.00249076,0.00249142,0.002392153,0.002768473,0.002993147,0.003136559,0.003464591,0.003477875,0.003450384,0.003510726,0.003514946,0.004732316,0.003497708,0.003242329,0.003930758,0.003225972,0.003430253,0.003471994,0.003483822
Samoa,0.001628916,0.001607538,0.001609718,0.002032983,0.002032383,0.002033063,0.001895631,0.002082068,0.002082243,0.002092455,0.002139541,0.002161372,0.002211829,0.002264061,0.002733651,0.0029742,0.003152698,0.003153243,0.003118054,0.003195988,0.003329732,0.003497099,0.003581705,0.003712598,0.003742277,0.003879343,0.003704201,0.003668783,0.00371569,0.00504367,0.00462874
Sao Tome and Principe,0.000521281,0.000531511,0.000531875,0.000531615,0.0009566,0.001008485,0.001010015,0.001007469,0.001220137,0.001220105,0.001223194,0.001219313,0.001208988,0.001229668,0.000996578,0.00093125,0.001053963,0.001174185,0.001328293,0.001404068,0.001493288,0.001553833,0.001676583,0.001782511,0.001920653,0.001987749,0.002100245,0.002100395,0.002100209,0.002196297,0.00226894
Saudi Arabia,3.008471585,3.06625715,3.182776662,3.12009183,3.342853831,3.492319151,3.68305506,3.776674282,3.876192436,3.81826506,4.105622211,4.35557612,4.533960666,4.858332602,5.101122266,5.296439799,5.509818709,5.76065538,6.293200808,6.66737733,6.941069837,7.160927039,7.703296616,8.024910989,8.807596745,9.209996421,9.793754753,9.791904403,10.35936817,10.64980423,10.46473157
Senegal,0.039990714,0.040473354,0.034693396,0.035865156,0.03630182,0.033519242,0.040602576,0.042335109,0.051064079,0.055268712,0.055741593,0.050913022,0.054170404,0.059651101,0.067926981,0.074025789,0.076815045,0.077441925,0.081929412,0.08500997,0.083482168,0.08788726,0.092266905,0.086444244,0.090803932,0.097263864,0.09333727,0.097355309,0.108463919,0.128211014,0.123598265
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.699170103,0.695072573,0.692261987,0.66345584,0.683539678,0.692013987,0.651175018,0.649434058,0.578694016,0.640191165,0.655865376
Seychelles,0.004250286,0.004488684,0.006626962,0.006895916,0.006158822,0.006983177,0.006923969,0.007118121,0.007118121,0.007368909,0.007388514,0.007825777,0.007825777,0.007825795,0.012832913,0.013804398,0.01202066,0.011991086,0.016736342,0.015245006,0.016196687,0.013315694,0.014515323,0.015822009,0.014308475,0.01228582,0.014136646,0.012769245,0.014923464,0.015457833,0.017149333
Sierra Leone,0.012404244,0.013592095,0.01478842,0.014381192,0.01459385,0.015459775,0.011174644,0.011156365,0.010590256,0.012179508,0.012000566,0.012616104,0.012616165,0.012616165,0.005906965,0.007547679,0.007601308,0.007833822,0.00828536,0.007022805,0.009079247,0.008389166,0.008764227,0.008977579,0.009907656,0.012578282,0.013980239,0.016299572,0.017945366,0.01459696,0.015002861
Singapore,0.570669981,0.631741919,0.673073635,0.73099549,0.801950599,0.832506714,0.958241121,1.039357372,1.188232217,1.144821937,1.354632488,1.453212112,1.53702064,1.632741422,1.653780368,1.747797769,1.727197527,1.916388133,2.067910108,2.140562266,2.31657552,2.515835469,2.596437352,2.596820472,2.929173067,3.137687936,3.158512956,3.199161289,3.228307546,3.29114221,3.492176378
Slovakia,--,--,--,--,--,--,--,0.86717112,0.812380416,0.867048404,0.840679229,0.815835866,0.802941861,0.794330943,0.801315574,0.842154252,0.845724523,0.830047535,0.814818223,0.837690876,0.83152158,0.807429579,0.816992449,0.73391029,0.776943692,0.755109476,0.725700316,0.724945296,0.687815794,0.708821045,0.710665257
Slovenia,--,--,--,--,--,--,0.226036962,0.239389717,0.250042866,0.268690218,0.296361498,0.281545668,0.28164713,0.279141585,0.276786963,0.287772059,0.28792605,0.284174329,0.301179666,0.30202575,0.3040308,0.303446507,0.32801549,0.29809123,0.301224956,0.295459092,0.29001554,0.282190896,0.28546013,0.266473761,0.281167894
Solomon Islands,0.001723834,0.002009336,0.002407773,0.00240206,0.00240206,0.00240206,0.002407773,0.00240206,0.00240206,0.00240206,0.002407773,0.00240206,0.00240206,0.002402081,0.002571884,0.002616692,0.002616692,0.002704955,0.00271147,0.00271147,0.002766198,0.003046771,0.002969941,0.002964674,0.003074296,0.003033312,0.003059044,0.003245991,0.00329087,0.003282602,0.002900163
Somalia,0.020183037,0.014911531,0.014957218,0.015320849,0.013882293,0.008272716,0.007688068,0.00809142,0.00809142,0.00809142,0.008113589,0.00809142,0.00809142,0.008091423,0.010121057,0.010289035,0.011122919,0.011224169,0.011130781,0.011238481,0.01132425,0.011486927,0.011365312,0.011335115,0.011618414,0.011618414,0.011656478,0.011656578,0.011657405,0.012095459,0.012375784
South Africa,3.511732524,3.641194682,3.721141085,3.736549948,3.844659078,3.843405265,3.861045784,3.912396588,4.009054889,4.236720663,4.385073035,4.549851064,4.645734649,4.519379376,4.639127981,4.601611898,4.782331633,5.012408597,5.100700798,5.200981742,5.272395078,5.570812063,5.636605383,5.537567604,5.657429048,5.576333408,5.654726071,5.688440603,5.636142865,5.628756279,5.628887175
South Korea,2.674342256,3.031282696,3.365772792,3.625092437,4.073575732,4.523426448,5.038126388,5.472393435,5.865487274,6.398504727,6.919240707,7.454783786,6.870536879,7.543366335,8.106368411,8.319707013,8.437879946,8.773750924,8.945452161,9.252034643,9.41536158,9.762659001,9.911431854,9.99357676,10.85875931,11.29177114,11.50728559,11.48844313,11.60876611,11.92884601,12.28762614
South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.020365999,0.021541367,0.022285755,0.027304638,0.024250464
Spain,3.474793979,3.566718191,3.799247179,3.934376955,4.005166757,4.195288814,4.208821655,4.098904233,4.254089805,4.461520229,4.567147443,4.825647887,5.062111905,5.220731487,5.516562453,5.762882031,5.870770653,6.125763207,6.410455056,6.550372642,6.56459295,6.693733093,6.460095957,6.040453016,6.198252127,5.918730809,5.796739486,5.668023933,5.604628008,5.597171799,5.740865374
Sri Lanka,0.094394879,0.100125655,0.099031973,0.095909707,0.106356227,0.104569151,0.106343569,0.125616343,0.137106922,0.145258376,0.147645372,0.162293997,0.168032167,0.178366826,0.197984525,0.19300587,0.195522313,0.202606468,0.210238105,0.22101173,0.221638124,0.225448808,0.224430433,0.213496132,0.243163599,0.270884031,0.27963557,0.2842912,0.304343854,0.342360674,0.361071856
Sudan,0.068809957,0.066269221,0.071695382,0.069633766,0.063562561,0.088369183,0.081585376,0.077374687,0.071123114,0.06561356,0.066701854,0.068043993,0.068137947,0.073682365,0.106115717,0.1140083,0.13497358,0.139964002,0.1534816,0.178171639,0.212428823,0.225482819,0.245755905,0.264754083,0.299828676,0.289223747,0.279066005,0.292918974,0.300379705,0.310520798,0.371727004
Suriname,0.026068464,0.018900954,0.022181752,0.029888216,0.034314189,0.035218546,0.03437059,0.035237314,0.035292694,0.033882659,0.033477727,0.034226821,0.034206126,0.034417497,0.028535642,0.02817201,0.031250044,0.027685064,0.031377735,0.031931217,0.03480116,0.032534018,0.038491219,0.039146911,0.047020179,0.039620787,0.044154476,0.041628987,0.043378665,0.041382808,0.03831892
Sweden,2.205765139,2.270041212,2.231807697,2.2040058,2.225464803,2.228805459,2.268649688,2.244844247,2.268608831,2.313543465,2.2820764,2.326780725,2.408781927,2.366749276,2.273461889,2.411630162,2.289628071,2.181461844,2.334601678,2.356606218,2.251068191,2.269816874,2.232907137,2.065230651,2.221123421,2.161775361,2.222607887,2.116496921,2.11392134,2.147947701,2.170059834
Switzerland,1.160164758,1.163090696,1.182537147,1.14704001,1.16174983,1.209796509,1.22360997,1.215577554,1.236804694,1.22941058,1.204291221,1.228531388,1.25323141,1.316138417,1.287346844,1.347657902,1.274144036,1.288206477,1.280310882,1.251219749,1.274956529,1.274523147,1.308129221,1.277714967,1.306610718,1.228278253,1.275056103,1.298562014,1.242429669,1.209827698,1.184733194
Syria,0.385645042,0.431091142,0.452089776,0.483189462,0.559663709,0.519020756,0.534806532,0.59337796,0.630707734,0.606821007,0.654312121,0.69535096,0.748502837,0.77048059,0.743083248,0.734342256,0.794776879,0.771833001,0.858638834,0.970082913,1.010975541,1.043035806,1.058689699,0.990720442,1.025288923,0.929107435,0.721430751,0.526432371,0.467569439,0.416289636,0.394732482
Taiwan,1.534942987,1.649387352,1.788708623,1.891074353,2.018790346,2.071011888,2.188497146,2.33049427,2.502232229,2.701500046,2.916882153,3.024457521,3.209244237,3.351824501,3.585558555,3.693339992,3.860585324,4.052279195,4.20957526,4.284242427,4.374391786,4.580727467,4.409574771,4.342985173,4.641630048,4.605568936,4.53800142,4.565234658,4.694931701,4.686083732,4.787461458
Tajikistan,--,--,--,--,--,--,0.291871395,0.261475474,0.253030194,0.208611447,0.230053242,0.218720406,0.225793475,0.254990938,0.200667025,0.210048005,0.216107488,0.227276638,0.231487001,0.236662892,0.231480726,0.218288791,0.2103933,0.188874025,0.195158791,0.192737857,0.203633736,0.210975397,0.215523806,0.215832747,0.221941815
Tanzania,0.049103648,0.045383742,0.048325171,0.049524783,0.054467,0.04993488,0.052462219,0.054672863,0.049103983,0.048685804,0.05154894,0.047961508,0.055420445,0.058266178,0.059680621,0.068740524,0.075628543,0.076970937,0.09319948,0.098390182,0.101224836,0.109606094,0.114075723,0.112594275,0.12963853,0.131750826,0.158469033,0.166250348,0.17151101,0.177520162,0.194130247
Thailand,0.713696392,0.796566384,0.903004366,1.063341689,1.246246203,1.362083696,1.464639914,1.676279981,1.865547191,2.110534269,2.381499753,2.548529061,2.393950849,2.445938775,2.561950658,2.712367712,3.028999239,3.311920682,3.582604775,3.684277333,3.755911289,3.879520536,3.912219033,4.056767902,4.420685457,4.531588452,4.80318527,5.100148407,5.078227298,5.153251661,5.306562682
The Bahamas,0.032437222,0.036194313,0.033689535,0.038525006,0.040986445,0.036354511,0.03075791,0.032478073,0.036080871,0.043119494,0.04861029,0.047378898,0.053804395,0.047324477,0.05617403,0.057250513,0.059377343,0.041474845,0.045970253,0.044201716,0.051339875,0.05912388,0.057775414,0.04343478,0.045254985,0.039956236,0.046179928,0.042963154,0.042186649,0.040328438,0.042219832
Timor-Leste,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0023855,0.002583076,0.002592068,0.002644516,0.002737274,0.003008348,0.00336633,0.003503897,0.003635614,0.004299131,0.006475917,0.007431916,0.007287,0.007123
Togo,0.009075026,0.008678374,0.008965088,0.010493785,0.010156649,0.016816412,0.01248224,0.010726226,0.011120685,0.012201672,0.011696519,0.011062748,0.012126135,0.017123944,0.016184203,0.013957582,0.015809278,0.018993796,0.018973276,0.018474504,0.016272488,0.019610125,0.023427881,0.041422874,0.039467451,0.036814401,0.033159928,0.033950509,0.037150294,0.039589409,0.040729056
Tonga,0.000391297,0.000867727,0.001085061,0.001340408,0.001340408,0.001361523,0.001294553,0.001291731,0.00175547,0.001586691,0.00180324,0.001886969,0.001918613,0.001918646,0.00149509,0.001346621,0.001460142,0.001799039,0.001666132,0.001774258,0.001995766,0.00170861,0.001845121,0.002002684,0.001822789,0.001724913,0.001748405,0.001696758,0.001834027,0.00191068,0.002023912
Trinidad and Tobago,0.205499476,0.191073876,0.197973482,0.211959457,0.225966201,0.253207839,0.24791678,0.271540791,0.311316678,0.32530351,0.35880296,0.388871251,0.38728905,0.39877596,0.440085537,0.482426782,0.517120046,0.624452817,0.582306911,0.663077523,0.847605946,0.855064057,0.914529159,0.874373815,0.956372833,0.97184634,0.931103704,1.032509623,1.01148354,0.98364279,0.88274616
Tunisia,0.180624511,0.168208339,0.180287213,0.201654923,0.200428329,0.165696936,0.191263091,0.218322215,0.236486381,0.213570162,0.229464535,0.266616546,0.286639338,0.288735475,0.303867863,0.337319703,0.333900879,0.329145875,0.335613209,0.364263863,0.343545106,0.306121641,0.35404926,0.295297193,0.303004039,0.289076319,0.317642881,0.336452353,0.37078828,0.382936293,0.382225567
Turkey,1.45186027,1.64175013,1.69264425,1.787036096,1.940904571,1.991781792,2.09726091,2.294546851,2.258054266,2.529515769,2.779029771,2.912560542,3.000000312,2.933837612,3.189586839,2.909983031,3.156019884,3.320507034,3.509577004,3.731202606,4.070369212,4.381566503,4.274866797,4.327175998,4.505277066,4.826094361,5.058226256,5.086168114,5.213873152,5.75099378,5.967689809
Turkmenistan,--,--,--,--,--,--,0.309030515,0.282667789,0.277089146,0.297824374,0.295451385,0.303063458,0.279911522,0.317732681,0.456109303,0.53482345,0.632008039,0.79506201,0.834422889,0.883418998,0.685333,0.655990332,0.53548356,0.875274447,1.027367088,1.193773636,1.37257232,1.407979321,1.440514209,1.758353822,1.754723973
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0.000189097,0.000189615,0.000189097,0.000208008,0.000208008,0.000986417,0.001047253,0.001394542,0.001433999,0.001477453,0.00173818,0.001998907,0.002346543,0.002498634,0.002520361,0.00260727,0.00260727,0.00260727,0.002628997,0.002824542,0.002911,0.003011
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0.001940331,0.001939521,0.002621301,0.004198484,0.004410197,0.004411217,0.004108882,0.003885524,0.003885524,0.004098137,0.004108882,0.004098137,0.004098137,0.004098153,0.00414439,0.00414439,0.00414439,0.00414439,0.00414439,0.00414439,0.004238468,0.004238468,0.00425008,0.004238468,0.004956992,0.004238468,0.00425008,0.004238468,0.004238468,0.00423685,0.004235017
U.S. Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Virgin Islands,0.042526461,0.042700868,0.041748512,0.041584401,0.041545189,0.041760376,0.042352116,0.04300435,0.04182951,0.041260669,0.040781188,0.040696616,0.040808037,0.041979137,0.132810704,0.192242601,0.19021955,0.223987681,0.229642104,0.224631748,0.239014743,0.223126669,0.129311754,0.112873924,0.102129341,0.067621284,0.038746359,0.020331421,0.041573178,0.041281596,0.034199176
Uganda,0.014984089,0.01375175,0.017763913,0.017759568,0.019483348,0.020613984,0.02332557,0.023516067,0.024323786,0.024521253,0.025546787,0.027144633,0.029047823,0.029114913,0.035321176,0.03600802,0.036902888,0.038914828,0.041458202,0.047127621,0.045719485,0.055154716,0.058010218,0.059248218,0.065365242,0.070769123,0.076577265,0.086241017,0.097802344,0.096202983,0.09891699
Ukraine,--,--,--,--,--,--,9.325390364,8.942847057,7.573769187,7.189940611,6.45521519,6.270106832,6.046929824,6.143308731,5.960808463,5.833630093,6.013540528,6.486928508,5.913346087,5.908607442,6.146809124,6.43870105,6.307273995,4.664220009,5.175662993,5.533708509,5.169661834,4.884570389,4.392599541,3.851992339,3.876943667
United Arab Emirates,0.907272305,1.06888718,1.17094278,1.268123585,1.227335881,1.48782599,1.613355624,1.509681822,1.4888921,1.60472506,1.66964338,1.767974675,1.837839749,1.863559651,2.090242289,2.268944525,2.371151416,2.441749429,2.583086183,2.666077415,2.820830559,3.094548341,3.575799612,3.508989622,3.634073096,4.034112477,3.989046171,4.16395202,4.24040875,4.651111329,4.721282589
United Kingdom,8.994009112,9.045166492,9.115132903,9.140118719,9.291080342,9.593021054,9.517766851,9.658330295,9.681594628,9.708591626,10.23342467,9.821198246,9.864230261,9.897479717,9.904164463,9.977709703,9.843848225,9.900250649,9.93965973,9.910262906,9.806357945,9.458943473,9.352978527,8.818764604,9.187035128,8.616194213,8.754386064,8.7294194,8.27324338,8.354045895,8.264434159
United States,76.59888807,79.00820267,82.65916904,84.73999296,84.4328603,84.38030008,85.72488506,87.26588762,88.98323406,90.93070401,93.93451089,94.50699934,94.92018984,96.54452444,98.70222416,96.06373375,97.53539089,97.83477319,100.0023681,100.1015762,99.39154056,100.8933632,98.75371116,93.94221562,97.51685893,96.85023039,94.38012321,97.11729191,98.27567333,97.37785199,97.32866214
Uruguay,0.113916764,0.121478299,0.11989391,0.104472363,0.134544582,0.119411074,0.137819057,0.14093882,0.139254312,0.123537125,0.129148604,0.141230212,0.176802128,0.158567158,0.164026258,0.17961093,0.159503568,0.160174413,0.154088722,0.166368222,0.151646509,0.179492698,0.190675332,0.19995783,0.207202118,0.202253312,0.20258018,0.210870929,0.215925148,0.221642334,0.22502139
Uzbekistan,--,--,--,--,--,--,1.679776515,2.090318689,1.760939841,1.861438567,1.88028996,1.877987103,1.845796072,1.852092061,1.951019433,2.031010122,2.074707661,2.114121135,2.21909092,2.087493239,2.110907458,2.10921509,2.171332667,1.969716058,1.941769525,2.110196619,2.095044271,1.90909054,2.0912822,1.963911987,1.721464508
Vanuatu,0.001647149,0.001455415,0.00188554,0.001651164,0.001651164,0.001380532,0.000724002,0.000722233,0.000722233,0.000722233,0.000724002,0.000722233,0.000722233,0.000722267,0.001303174,0.001451473,0.00138512,0.001625359,0.00130815,0.001308167,0.001213372,0.001967185,0.001939716,0.002241757,0.002317116,0.002680445,0.00224881,0.002177587,0.002485677,0.002345407,0.002362355
Venezuela,1.88314082,1.919688473,1.931123852,2.055376779,2.081151992,2.212632309,2.221354547,2.296039794,2.434151831,2.472982175,2.572197339,2.66356403,2.814151075,2.644758275,2.732191275,2.996543575,2.855076632,2.629718086,2.962151724,3.00466037,3.168127241,2.991411786,3.173835905,3.111590124,3.10905877,3.135463589,3.399166748,3.217814333,3.057338646,3.06032016,2.697475054
Vietnam,0.223252853,0.253654008,0.25667367,0.258662629,0.278221609,0.304118847,0.318806423,0.339115882,0.389855707,0.457568158,0.543701534,0.604694711,0.635060298,0.706142943,0.740102545,0.849946446,0.954365506,1.021631838,1.159358004,1.287153977,1.361447513,1.482219011,1.683832886,1.803978616,1.956424439,2.153219367,2.29923446,2.368281038,2.590155835,2.823773259,3.109810174
